Geocodigo;Cidade;Latitude;Longitude
1100015;Alta Floresta D'Oeste;-11,92946611;-61,99648167
1100023;Ariquemes;-9,908462867;-63,03326928
1100031;Cabixi;-13,49509833;-60,54466556
1100049;Cacoal;-11,43386503;-61,44294421
1100056;Cerejeiras;-13,19441611;-60,81865333
1100064;Colorado do Oeste;-13,12930711;-60,55015524
1100072;Corumbiara;-12,99820167;-60,94215333
1100080;Costa Marques;-12,43549333;-64,22920778
1100098;Espigão D'Oeste;-11,53042517;-61,01656795
1100106;Guajará-Mirim;-10,77388374;-65,32395182
1100114;Jaru;-10,43594877;-62,47623071
1100122;Ji-Paraná;-10,88205132;-61,94509458
1100130;Machadinho D'Oeste;-9,42556248;-61,99959257
1100148;Nova Brasilândia D'Oeste;-11,72628667;-62,31769444
1100155;Ouro Preto do Oeste;-10,7235739;-62,26105519
1100189;Pimenta Bueno;-11,67753699;-61,18366567
1100205;Porto Velho;-8,76889179;-63,83144565
1100254;Presidente Médici;-11,17088889;-61,90561444
1100262;Rio Crespo;-9,704914444;-62,89857556
1100288;Rolim de Moura;-11,72225891;-61,78578094
1100296;Santa Luzia D'Oeste;-11,90793278;-61,77747889
1100304;Vilhena;-12,74137347;-60,13858387
1100320;São Miguel do Guaporé;-11,69701503;-62,71771403
1100338;Nova Mamoré;-10,40386915;-65,32780353
1100346;Alvorada D'Oeste;-11,34816833;-62,28573889
1100379;Alto Alegre dos Parecis;-12,12767333;-61,85485056
1100403;Alto Paraíso;-9,719854444;-63,31595056
1100452;Buritis;-10,21208182;-63,82862919
1100502;Novo Horizonte do Oeste;-11,70905333;-61,99935167
1100601;Cacaulândia;-10,33871722;-62,90034333
1100700;Campo Novo de Rondônia;-10,56987944;-63,62128556
1100809;Candeias do Jamari;-8,785221577;-63,69937163
1100908;Castanheiras;-11,42715111;-61,94836111
1100924;Chupinguaia;-12,55325667;-60,90264167
1100940;Cujubim;-9,366146111;-62,58045222
1101005;Governador Jorge Teixeira;-10,60972944;-62,72951278
1101104;Itapuã do Oeste;-9,185995;-63,18559
1101203;Ministro Andreazza;-11,19745833;-61,51672
1101302;Mirante da Serra;-11,03063;-62,67465667
1101401;Monte Negro;-10,25939389;-63,29840833
1101435;Nova União;-10,91343;-62,55630278
1101450;Parecis;-12,18112556;-61,60319333
1101468;Pimenteiras do Oeste;-13,48189667;-61,04777556
1101476;Primavera de Rondônia;-11,83000611;-61,31925944
1101484;São Felipe D'Oeste;-11,91121833;-61,51252111
1101492;São Francisco do Guaporé;-12,06584333;-63,56917667
1101500;Seringueiras;-11,76988222;-63,03376889
1101559;Teixeirópolis;-10,93366222;-62,25629722
1101609;Theobroma;-10,24742812;-62,35038273
1101708;Urupá;-11,12819389;-62,37091111
1101757;Vale do Anari;-9,857653889;-62,17461056
1101807;Vale do Paraíso;-10,42677167;-62,12852611
1200013;Acrelândia;-10,07568889;-67,05202278
1200054;Assis Brasil;-10,93978307;-69,5664641
1200104;Brasiléia;-11,015565;-68,746635
1200138;Bujari;-9,823404014;-67,94826048
1200179;Capixaba;-10,57489167;-67,67683056
1200203;Cruzeiro do Sul;-7,630639712;-72,67258964
1200252;Epitaciolândia;-11,02546056;-68,74299611
1200302;Feijó;-8,163999;-70,353999
1200328;Jordão;-9,193354646;-71,94867391
1200336;Mâncio Lima;-7,613724444;-72,90473556
1200344;Manoel Urbano;-8,840003239;-69,26084513
1200351;Marechal Thaumaturgo;-8,947580556;-72,78796611
1200385;Plácido de Castro;-10,32690061;-67,18536181
1200393;Porto Walter;-8,266253889;-72,74702944
1200401;Rio Branco;-10,00972682;-67,79035226
1200427;Rodrigues Alves;-7,73416;-72,65060944
1200435;Santa Rosa do Purus;-9,432622435;-70,49290282
1200450;Senador Guiomard;-10,15098278;-67,73494722
1200500;Sena Madureira;-9,067825164;-68,65647434
1200609;Tarauacá;-8,161264444;-70,76627222
1200708;Xapuri;-10,65455722;-68,49772778
1200807;Porto Acre;-9,594195556;-67,54082278
1300029;Alvarães;-3,216583769;-64,81353468
1300060;Amaturá;-3,363186667;-68,19958333
1300086;Anamã;-3,579498204;-61,4044864
1300102;Anori;-3,745385586;-61,65895538
1300144;Apuí;-7,193861111;-59,88149316
1300201;Atalaia do Norte;-4,367830556;-70,19115056
1300300;Autazes;-3,578663642;-59,13356709
1300409;Barcelos;-0,975740964;-62,92755564
1300508;Barreirinha;-2,798149837;-57,06775049
1300607;Benjamin Constant;-4,375923889;-70,03075278
1300631;Beruri;-3,900639983;-61,37400158
1300680;Boa Vista do Ramos;-2,971726532;-57,58770735
1300706;Boca do Acre;-8,747467196;-67,39731809
1300805;Borba;-4,388755702;-59,59427238
1300839;Caapiranga;-3,330093392;-61,21133413
1300904;Canutama;-6,534962591;-64,38539402
1301001;Carauari;-4,882596111;-66,89913111
